Executable name	Version	Application name	Application category	Number of devices	Number of executions	Average memory usage per execution [bytes]
googlecrashhandler64.exe	1.3.33.23	Google Update	Other	20	55	-
wkhtmltopdf.exe	0.12.5.0	unknown	Unknown	1	170	-
pythonw.exe	0.0.0.0	unknown	-	1	1	-
explorer.exe	10.0.14393.0	Microsoft Windows Operating System	Operating System	3	13	-
wermgr.exe	10.0.18362.719	Microsoft Windows Operating System	Operating System	4	106	-
checkhypervhost.exe	1.18.1059.4691	Visual Studio	-	3	3	-
filecoauth.exe	19.174.902.13	Microsoft OneDrive	-	3	12	-
werfault.exe	10.0.17763.503	Microsoft Windows Operating System	Operating System	8	161	-
realpath.exe	0.0.0.0	mintty	Unknown	3	17	-
silverlight_developer.exe	5.1.20513.0	Microsoft Windows Operating System	Operating System	1	1	-
bluejeans.detector.exe	2.17.335.0	BlueJeans.Detector	-	1	1	-
fahconsole.exe	3.0.0.3	File Association Helper	-	1	5	-
docker.exe	19.3.1.0	unknown	Unknown	2	12	-
dw20.exe	16.0.12527.20122	Microsoft Application Error Reporting	-	1	2	-
pingsender.exe	74.0.0.7373	Firefox	-	10	15	-
kbdmgrc.exe	1.0.1.0	On Screen Display	-	19	57	-
makecab.exe	5.0.1.1	Microsoft Windows Operating System	Operating System	3	4	-
vmware-svi-nga.exe	5.3.0.9334	VMware View Composer	Virtualization	10	10	-
ravbg64.exe	1.0.0.258	HD Audio Background Process	Utility & Device driver	1	23	-
whoami.exe	10.0.18362.1	Microsoft Windows Operating System	Operating System	1	2	-
aigpusniffer.exe	1.0.0.1	AIGPUSniffer	Browser	4	9	-
am_delta_patch_1.313.1099.0.exe	1.313.1201.0	Microsoft Malware Protection	-	1	1	-
crlogtransport.exe	2.1.0.0	LogTransport Application	-	4	9	-
vslauncher.exe	14.0.23107.0	Microsoft Visual Studio 2015	-	1	2	-
hpwucli.exe	5.0.14.1	HP Update Client	Other	17	17	-
testhost.x86.exe	15.0.0.0	Microsoft.TestHost.x86	-	1	1	-
rmactivate.exe	10.0.17763.1	Microsoft Windows Operating System	Operating System	1	1	-
winzip64.exe	32.0.13300.0	WinZip	Utility & Device driver	1	2	-
acrobat_sl.exe	20.6.20042.43423	Adobe Acrobat	-	49	92	-
opera.exe	67.0.3575.137	Opera Internet Browser	Browser	1	21	-
fltldr.exe	0.0.0.0	unknown	Office	22	590	-
e_ybcss3e.exe	10.0.2.0	EPSON Status Monitor 3	-	1	4	-
csc.exe	3.100.119.28106	csc	-	1	53	-
sogoucommgr.exe	9.3.0.2941	搜狗输入法	-	1	1	-
wsqmcons.exe	10.0.18362.418	Microsoft Windows Operating System	Operating System	3	48	-
inboxdrivercheck.exe	1.0.0.1	inbox driver checker	-	6	12	-
reagentc.exe	10.0.14393.0	Microsoft Windows Operating System	Operating System	1	24	-
adobearmhelper.exe	1.824.35.289	Adobe Acrobat Update Service	-	1	1	-
igfxtray.exe	8.15.10.3383	Intel Common User Interface	Utility & Device driver	1	2	-
raserver.exe	10.0.19041.1	Microsoft Windows Operating System	Operating System	1	143	-
igfxsrvc.exe	8.15.10.2725	Intel Common User Interface	Utility & Device driver	1	2	-
gpgconf.exe	0.0.0.0	unknown	-	1	3	-
adobeipcbrokercustomhook.exe	5.2.0.49	Adobe IPC Broker Custom Hook	-	1	1	-
infopath.exe	14.0.7010.1000	Microsoft Office InfoPath	Office	1	1	-
nvprofileupdater64.exe	31.2.0.0	NVIDIA driver profile updater	Utility & Device driver	1	6	-
javaws.exe	11.121.2.13	Java Platform SE 8 U121	-	2	2	-
win764.exe	10.0.0.916	Qualcomm Atheros Bluetooth Installer (64)	-	1	1	-
try_blas_a10c8akb.exe	0.0.0.0	unknown	-	1	1	-
intelpttekrecertification.exe	1.47.715.0	Intel PTT EK Recertification Service	Utility & Device driver	11	33	-
wermgr.exe	10.0.17763.652	Microsoft Windows Operating System	Operating System	3	17	-
bravecrashhandler64.exe	1.3.99.0	BraveSoftware Update	-	1	8	-
provtool.exe	10.0.17763.168	Microsoft Windows Operating System	Operating System	85	228	-
pdftotext.exe	0.0.0.0	unknown	-	1	536	-
jp2launcher.exe	11.221.2.11	Java Platform SE 8 U221	-	3	4	-
atmgr.exe	3911.100.1912.1000	AtMgr Module	Instant messaging & Video-conferencing	1	1	-
wsqmcons.exe	10.0.19041.84	Microsoft Windows Operating System	Operating System	1	25	-
net1.exe	10.0.16299.15	Microsoft Windows Operating System	Operating System	8	40	-
secedit.exe	10.0.19041.1	Microsoft Windows Operating System	Operating System	1	27	-
ceip.exe	12.181.137.0	Microsoft Mouse and Keyboard Center	-	5	27	-
attrib.exe	6.1.7600.16385	Microsoft Windows Operating System	Operating System	1	4	-
wsqmcons.exe	10.0.16299.1685	Microsoft Windows Operating System	Operating System	13	206	-
python.exe	3.8.150.1013	Python	-	1	81	-
try_march_vj6edfg5.exe	0.0.0.0	unknown	-	1	1	-
net.exe	10.0.17763.1	Microsoft Windows Operating System	Operating System	83	376	-
