Executable name	Version	Number of executions	Average memory usage per execution [bytes]	Number of devices	Application name
ois.exe	14.0.4750.1000	5	-	1	Microsoft Office 2010
sdxhelper.exe	16.0.12527.20278	65	-	1	Microsoft Office
bcssync.exe	14.0.7005.1000	1857	-	840	Microsoft Office 2010
sdxhelper.exe	16.0.11328.20492	10	-	1	Microsoft Office
officec2rclient.exe	16.0.12703.20010	345	-	1	Microsoft Office
orgchart.exe	16.0.11328.20512	1	-	1	Microsoft Office
excel.exe	16.0.12008.20000	3	-	1	Microsoft Office
bcssync.exe	14.0.7005.1000	95	-	46	Microsoft Office 2010
fltldr.exe	16.0.11328.20362	2525	-	295	Microsoft Office
osfinstaller.exe	16.0.10730.20304	16	-	1	Microsoft Office
msoia.exe	16.0.12231.20000	23	-	1	Microsoft Office
msoia.exe	16.0.11328.20524	28	-	1	Microsoft Office
msohtmed.exe	14.0.7227.5000	23	-	17	Microsoft Office 2010
sdxhelper.exe	16.0.11929.20606	1000	-	12	Microsoft Office
protocolhandler.exe	14.0.7007.1000	8	-	2	Microsoft Office 2010
msoia.exe	16.0.11328.20438	131	-	8	Microsoft Office
msoia.exe	16.0.12703.20008	22	-	1	Microsoft Office
msohtmed.exe	14.0.4730.1010	15	-	2	Microsoft Office 2010
officec2rclient.exe	16.0.11328.20492	24	-	1	Microsoft Office
