Platform	Name	Entity	Last IP address	Device type	Device model	CPU model	Total RAM [bytes]	Hard disks	OS version and architecture	DXS - Web browsing (DXS - Web browsing)	DXS - Business apps (DXS - Business apps)	DXS - Device (DXS - Device)	DXS - Productivity (DXS - Productivity)	Device (sentiment) (DXS - User sentiments)	Web browsing (sentiment) (DXS - User sentiments)	Business apps (sentiment) (DXS - User sentiments)	Productivity (sentiment) (DXS - User sentiments)	Security (sentiment) (DXS - User sentiments)	Employee Satisfaction (DXS - User sentiments)	DXS - Security (DXS - Security)	OS name
Windows	TXHQPRIVIELL-L1	-	10.142.14.233	laptop	Latitude 7490	Intel Core i5-8350U CPU @ 1.70GHz	8589934592	SK hynix SC311 SATA 256GB (238.5GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	9.0426	9.63632	9.5728	8.97322	10	10	10	10	10		10	Windows 10
Windows	TXHQPROPER-L1	VPN (TX)	10.99.88.97	laptop	Latitude 7490	Intel Core i5-8350U CPU @ 1.70GHz	8589934592	SK hynix SC401 SATA 256GB (238.5GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	5	9.69375	0	9.00804	10	10	10	10	10		7.9	Windows 10
Windows	TXHQPSTMART-L4	VPN (TX)	10.99.87.117	laptop	Latitude E6430	Intel Core i5-3340M CPU @ 2.70GHz	8589934592	Intel (111.8GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	7.9355	9.48546	9.65305	8.9396	10	10	10	10	10		8.8	Windows 10
Windows	TXHQPTREVINO-L1	-	104.187.98.57	laptop	Latitude 5400	Intel Core i5-8365U CPU @ 1.60GHz	8589934592	CL1-3D256-Q11 NVMe LITEON 256GB (238.5GB)	Windows 10 Enterprise 1809 (64 bits)	8.71221	9.61036	9.64435	9.05883	10	10	10	10	10		10	Windows 10
Windows	TXHQPVELASCO-L3	VPN (TX)	10.99.86.243	laptop	Latitude E7240	Intel Core i5-4300U CPU @ 1.90GHz	12884901888	KINGSTON SUV500MS240G (223.6GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	5.98209	9.64643	0	8.4102	10	10	10	10	10		0	Windows 10
Windows	TXHQPVG-V3	Skybox (TX)	10.141.216.69	desktop	VMware Virtual Platform	Intel Xeon CPU E5-2640 v3 @ 2.60GHz	8589934592	VMware (100GB)	Windows 10 Enterprise 1709 (64 bits)	8.5486	9.73821	0	9.79371	10	10	10	10	10		8.8	Windows 10
Windows	TXHQPWILLS-D2	Houston - 910 Corp (TX)	10.132.216.16	desktop	OptiPlex 9020	Intel Core i7-4790S CPU @ 3.20GHz	8589934592	SK hynix SH920 2.5 7MM 128GB (119.2GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1809 (64 bits)	8.76947	9.96914	0	9.37416	10	10	10	10	10		10	Windows 10
Windows	TXHQPXTERM-D1	Houston - 910 Corp (TX)	10.132.44.62	desktop	OptiPlex 7060	Intel Core i5-8500T CPU @ 2.10GHz	8589934592	Micron (238.5GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1809 (64 bits)			9.6006		10	10	10	10	10		10	Windows 10
Windows	TXHQQLI-L1	VPN (TX)	10.99.88.161	laptop	Latitude 7490	Intel Core i5-8350U CPU @ 1.70GHz	8589934592	Toshiba (238.5GB, 80% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	8.22224	9.39216	0	8.73758	10	10	10	10	10		7	Windows 10
Windows	TXHQQTANG-L2	VPN (TX)	10.99.84.33	laptop	Latitude E7470	Intel Core i5-6300U CPU @ 2.40GHz	8589934592	SK hynix SC308 SATA 256GB (238.5GB, 70% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	4.93342	8.70131	0	7.94096	10	10	10	10	10		9.4	Windows 10
Windows	TXHQQTRAN-L2	VPN (TX)	10.99.82.67	laptop	Latitude E7440	Intel Core i7-4600U CPU @ 2.10GHz	12884901888	Samsung (119.2GB, 80% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	5.15933	9.51441	9.6666	8.45029	10	10	10	10	10		0	Windows 10
